Scenario,Country,Investment_Required_USD,Projected_ROI_Percent,Risk_Level
Scenario 1,Country 15,2913713.581180907,16.267741395770027,Low
Scenario 2,Country 34,3692759.737492129,12.519214157486624,High
Scenario 3,Country 46,3008834.2600812814,18.17785371714939,High
Scenario 4,Country 22,1645217.4449137922,8.596510591186618,Low
Scenario 5,Country 32,885607.2300847176,15.793701018217181,High
Scenario 6,Country 33,2036558.853145026,11.489019758458408,Low
Scenario 7,Country 35,1469190.1232147652,17.058248754563458,Medium
Scenario 8,Country 50,857180.5889329341,13.522888726696177,Low
Scenario 9,Country 8,2377139.58065348,9.992954394235529,High
Scenario 10,Country 32,3741983.751505842,7.952600866678998,Low
Scenario 11,Country 46,4666807.950978321,23.6275048195673,Low
Scenario 12,Country 17,1854263.395702472,10.781272788207223,High
Scenario 13,Country 25,588195.5260836853,13.770782406193936,Medium
Scenario 14,Country 38,1869019.580198753,14.211894901324712,High
Scenario 15,Country 22,2248636.4130732673,19.909312144135896,Low
Scenario 16,Country 24,1766686.3831547787,16.150378930529357,Low
Scenario 17,Country 41,2737966.663081947,22.58557221695564,Medium
Scenario 18,Country 24,2373884.829141359,15.64756939456823,Low
Scenario 19,Country 9,4758836.835771136,5.2135095031747785,Medium
Scenario 20,Country 3,2876851.961189379,16.414656550392426,Medium
Scenario 21,Country 15,1639523.8441423,21.871753499821097,Low
Scenario 22,Country 10,241924.14301462632,24.72134154434919,High
Scenario 23,Country 8,2888443.2961465595,22.887872683163938,High
Scenario 24,Country 5,2978174.94867596,22.933888112559597,Low
Scenario 25,Country 26,1840989.418607087,6.0048113762998145,High
Scenario 26,Country 10,1710696.2195345445,22.799363245309344,Medium
Scenario 27,Country 40,2796013.590610698,13.790903305111987,Low
Scenario 28,Country 1,1098635.162240291,24.516932729648307,Low
Scenario 29,Country 13,3761018.5122271604,8.79454777177267,Low
Scenario 30,Country 13,2588360.208325235,5.850855542036168,High
Scenario 31,Country 45,3746945.172122263,10.513303872126487,Low
Scenario 32,Country 28,4177718.315168543,8.505218973927944,Medium
Scenario 33,Country 27,1368346.9575612086,11.424528363685681,High
Scenario 34,Country 35,3909829.3085501683,10.723871865196985,Medium
Scenario 35,Country 26,1385515.5625719298,12.958205079360782,Low
Scenario 36,Country 49,3135868.673919628,12.93055848240503,High
Scenario 37,Country 49,3629062.4505153946,20.54709489258388,High
Scenario 38,Country 42,232877.2478407509,15.771545885206454,Medium
Scenario 39,Country 25,183589.62210206984,20.902063450764242,High
Scenario 40,Country 32,625505.2488208702,23.18008152869909,Medium
Scenario 41,Country 14,2315182.6314233327,22.644318936934454,Low
Scenario 42,Country 28,1418797.38259728,14.671949994216096,High
Scenario 43,Country 41,4657682.597072872,8.42810632214867,High
Scenario 44,Country 23,1879237.2045729288,5.562515125880019,Medium
Scenario 45,Country 8,4310410.340476211,7.319076201706116,Medium
Scenario 46,Country 36,1717569.2911508644,9.087952706857575,Low
