Country,Risk_Type,Risk_Level,Impact_Score
Country 42,Social,Medium,1.9215287335191187
Country 20,Social,Low,3.8155187761097396
Country 26,Political,Medium,4.476619265383212
Country 41,Environmental,Medium,1.8554810041367396
Country 40,Political,Low,2.7817915120295758
Country 46,Social,High,2.252103745221069
Country 41,Social,Low,4.243875015357625
Country 10,Social,High,3.8867634085910487
Country 25,Regulatory,Low,3.9789714696018823
Country 13,Regulatory,High,2.6297099277793183
Country 22,Political,Low,4.278917879524217
Country 4,Regulatory,High,4.634043108828783
Country 34,Economic,Medium,3.02769422992436
Country 35,Environmental,Low,1.491249283185827
Country 39,Social,High,1.3378218584297397
Country 5,Political,Low,2.2075056906709665
Country 43,Economic,Medium,4.396521878272619
Country 12,Social,High,1.4627662439406
Country 1,Economic,Medium,4.078049631059272
Country 40,Environmental,Medium,1.3609051199607474
Country 43,Social,Medium,4.585748076762021
Country 41,Social,Medium,3.656733813506777
Country 48,Political,High,3.599781410957736
Country 27,Economic,Low,3.2435454130997745
Country 26,Social,Low,4.951100472464293
Country 48,Economic,Medium,2.6563492926258054
Country 24,Economic,Medium,1.5937912686090474
Country 33,Economic,Low,1.6573663509780308
Country 46,Political,Medium,3.5091084254024913
Country 36,Economic,Medium,3.020643774289134
Country 2,Social,High,3.8520975725473656
Country 28,Economic,Low,4.361069751259486
Country 43,Political,Medium,3.00279385836065
Country 37,Environmental,Low,1.3458062815366802
Country 11,Environmental,Medium,4.515846469305449
Country 20,Political,Medium,3.7096405064913527
Country 27,Political,High,2.5295285643816805
Country 37,Environmental,High,3.5113284952792445
Country 43,Regulatory,Medium,1.6312129929430288
Country 12,Political,Low,1.838417511357692
Country 36,Social,High,3.8447810726475447
Country 25,Regulatory,High,3.485735754398851
Country 35,Economic,Medium,2.4329025409191107
Country 10,Economic,Low,4.941855871036834
Country 23,Social,High,3.7882330484646243
Country 7,Environmental,High,2.2886298642280476
Country 41,Regulatory,Low,2.152061529887173
Country 32,Social,Low,3.5785808315683116
Country 10,Social,Low,3.7407693135313833
Country 19,Economic,High,1.0303174866731961
Country 6,Economic,Medium,3.0540788564119743
Country 27,Social,High,2.20551616448156
Country 19,Environmental,Medium,3.082289292387896
Country 22,Economic,High,4.720448266355669
Country 20,Environmental,High,3.7329499450095076
Country 6,Political,High,3.034001768255196
Country 18,Regulatory,Medium,1.9111918341438723
Country 24,Political,Medium,4.521992705004502
Country 42,Political,Low,3.7038730268727673
Country 34,Regulatory,Medium,1.204045745259581
Country 6,Environmental,Medium,3.8007493415199165
Country 17,Environmental,Medium,3.5062058045375646
Country 9,Regulatory,High,4.413725439743715
Country 37,Regulatory,High,3.036105959225852
Country 2,Social,Medium,3.132413792014538
Country 20,Economic,High,2.1539896850531353
Country 23,Regulatory,High,2.743097071448226
Country 26,Environmental,High,2.713743814241411
Country 8,Economic,Low,3.525683501087413
Country 36,Economic,High,2.750933288756177
Country 31,Regulatory,Medium,2.8103660767342618
Country 18,Political,High,4.542970487020083
Country 32,Political,High,3.945912304856789
Country 37,Environmental,High,2.299218197171505
Country 14,Economic,High,1.1222458338008052
Country 22,Economic,High,1.6851208608037904
Country 42,Regulatory,High,3.094791107722032
Country 50,Economic,Low,4.7775307615451315
Country 47,Economic,Low,1.7609344100535163
Country 45,Political,Medium,3.3578403593223713
