Date,Region,Historical_Sales,Predicted_Sales,Market_Trend
2023-08-01 16:14:03,South America,8646,8781,Stable
2022-09-30 10:42:03,South America,3757,4187,Growing
2023-08-21 09:03:58,Asia,24854,27338,Growing
2022-05-18 13:52:07,Australia,30906,28022,Declining
2023-11-14 03:53:19,Africa,49214,46701,Declining
2022-08-06 21:25:23,Asia,18578,17929,Stable
2023-09-10 22:02:25,North America,40424,38428,Growing
2023-08-06 13:27:38,Asia,21041,22745,Declining
2022-01-22 02:59:23,Africa,19421,18550,Stable
2023-03-18 01:50:47,Asia,46015,43804,Growing
2023-08-02 14:29:26,Europe,25484,27371,Growing
2022-01-19 09:06:29,Asia,47673,44230,Growing
2023-06-05 12:14:06,North America,48642,55535,Growing
2023-04-10 20:36:50,Africa,28954,28888,Growing
2023-07-25 17:25:13,Asia,18746,21020,Stable
2023-02-09 11:48:45,Asia,46838,53701,Declining
2023-04-03 06:27:14,Australia,6249,6112,Growing
2022-05-26 01:39:11,South America,25868,30116,Growing
2022-09-05 14:54:31,Australia,34938,40760,Growing
2023-05-21 22:14:11,Asia,37552,43975,Growing
2023-09-25 19:05:42,Australia,31884,36165,Declining
2022-10-05 06:59:36,Africa,47706,49382,Growing
2022-03-27 21:23:30,Europe,48371,57867,Growing
2023-11-18 05:15:29,Europe,2186,2217,Stable
2022-09-10 14:12:36,South America,37894,37337,Growing
2023-07-07 20:21:32,Asia,46538,49005,Declining
2022-04-13 03:03:43,North America,39529,43442,Growing
2022-01-14 06:11:02,Australia,49641,47096,Declining
2023-10-23 13:30:29,North America,46259,51018,Stable
2023-06-24 09:00:28,Asia,32475,31738,Stable
2023-07-13 00:39:18,Asia,2860,3150,Growing
2023-09-19 03:23:52,Australia,48931,54943,Stable
2022-02-01 06:00:08,South America,45504,44914,Stable
2023-06-07 07:47:23,South America,26673,25000,Declining
2023-12-17 14:17:14,Australia,19159,17643,Declining
2023-01-09 16:21:13,Africa,44303,48607,Declining
2022-08-13 14:54:21,Asia,21240,21658,Declining
2023-05-10 22:45:56,North America,25046,28499,Growing
2023-05-17 12:16:41,Europe,37432,37267,Stable
2022-06-13 11:53:47,Africa,35671,38732,Stable
2023-11-06 20:01:50,Africa,7737,8578,Declining
2023-04-11 15:01:18,South America,29786,27108,Declining
2022-04-17 18:22:17,Asia,32949,36403,Declining
2022-08-13 08:07:31,Africa,35636,37365,Declining
2023-12-12 19:16:43,Europe,1395,1277,Stable
2022-12-16 07:28:16,Africa,27780,27947,Stable
2022-04-12 19:44:47,Asia,14751,17573,Growing
2022-03-08 00:42:31,South America,30602,31929,Growing
2022-03-17 02:27:23,Europe,26678,27696,Growing
2023-08-17 19:33:57,Africa,7017,7538,Declining
2023-12-10 05:36:50,Europe,27073,25710,Growing
2023-03-05 06:31:41,North America,18912,17291,Growing
2023-11-25 19:15:01,Europe,3170,3395,Declining
2022-04-04 16:21:01,North America,47251,42908,Growing
2022-09-27 21:28:00,North America,13532,12545,Stable
2022-02-08 01:39:31,Europe,34985,34430,Declining
2022-03-22 10:07:17,Asia,24370,28431,Stable
2022-08-23 02:40:37,Australia,24261,28194,Growing
2022-05-16 23:03:04,Australia,42047,45888,Growing
2022-04-18 21:48:45,Africa,7652,7970,Stable
2023-08-21 15:00:17,Africa,18968,21449,Growing
2022-07-02 22:57:28,Australia,24958,25790,Growing
2022-11-07 04:08:28,North America,8099,8331,Stable
2022-08-18 18:02:02,Europe,37158,38685,Growing
2023-09-29 22:11:57,Asia,17471,19176,Growing
2023-10-07 08:14:05,North America,22408,21180,Stable
2022-04-29 22:32:00,South America,18790,19480,Growing
2023-01-18 22:26:08,Europe,23601,25748,Growing
2022-01-25 12:00:11,Africa,22878,21104,Growing
2023-06-17 17:18:29,Asia,8982,9788,Growing
2022-02-25 05:31:19,North America,14840,17422,Growing
2022-05-31 08:12:27,North America,13768,15587,Stable
2023-01-12 01:16:35,Australia,12859,15078,Declining
2023-07-22 12:26:37,Europe,26501,30826,Declining
2023-08-24 18:36:15,Africa,18878,21388,Growing
2022-06-18 03:01:12,Asia,26499,28852,Growing
2023-07-24 22:45:02,Europe,26944,31135,Growing
2023-01-09 17:31:26,Australia,29572,29472,Declining
2022-10-28 06:43:56,Africa,34617,40319,Declining
2022-07-31 11:55:47,North America,13736,14464,Growing
2023-03-12 12:33:52,Australia,27153,25453,Declining
2022-02-25 20:57:09,South America,29827,32689,Declining
2022-10-03 06:52:48,Asia,44484,43980,Stable
2023-07-06 00:09:29,North America,35483,33863,Stable
2023-01-24 22:27:12,Australia,36699,35882,Declining
2023-01-10 10:49:35,North America,22449,24913,Growing
2023-05-03 09:24:26,Africa,32947,33662,Stable
2023-11-15 11:10:25,North America,31674,34397,Declining
2023-05-15 22:29:27,Australia,31381,35907,Growing
2022-02-25 22:30:31,Europe,43667,41763,Stable
2022-08-05 01:58:42,Africa,49791,55874,Declining
2022-10-23 12:51:31,North America,19581,23272,Stable
2022-02-25 02:53:12,Europe,26128,29684,Growing
2023-04-05 08:55:01,South America,26762,25283,Stable
2023-09-12 09:35:05,Australia,40086,47033,Declining
2022-03-24 20:54:15,Europe,38348,34938,Growing
2022-05-03 23:38:58,Australia,35718,34040,Stable
2022-06-20 14:29:54,Asia,7313,7947,Growing
2023-09-05 22:15:56,Europe,18873,20168,Declining
2022-10-18 13:26:56,Asia,17481,15838,Declining
2022-03-24 22:45:27,Asia,42756,39851,Stable
2022-02-21 17:17:06,South America,6992,7543,Growing
2022-02-23 16:48:40,Asia,20495,21520,Stable
2023-11-03 17:42:38,Africa,35749,37806,Growing
2022-09-25 19:40:10,Europe,11041,9975,Declining
2022-12-04 00:25:13,Africa,16324,15237,Growing
2022-03-28 23:06:45,Europe,36797,37045,Declining
2023-08-23 11:54:26,Africa,13610,13955,Stable
2022-12-14 07:49:44,North America,20566,18972,Stable
2023-06-24 22:25:03,North America,48371,58004,Stable
2023-04-06 23:53:09,Europe,9534,9902,Declining
2023-09-11 23:06:50,Africa,20619,23347,Growing
