Region,Customization_Option,Popularity_Index
Asia,Packaging,0.12296852719275653
North America,Packaging,0.7332446292781406
Australia,Packaging,0.35701622453671067
Australia,Color,0.5958086775513985
Australia,Design,0.38596404171781196
Africa,Features,0.9150946354294808
Asia,Packaging,0.3121330571513855
South America,Design,0.5410501020326325
Australia,Design,0.582336896491025
North America,Color,0.12648404994916984
Europe,Color,0.6756424062130303
South America,Size,0.08765368328624268
Africa,Size,0.1907913673999283
South America,Features,0.5152946702003487
Africa,Packaging,0.03038717183986095
South America,Features,0.09787304225975846
Australia,Design,0.943275262374745
Africa,Color,0.4760424848843974
Europe,Packaging,0.16784036468484875
Europe,Features,0.5173000362042318
Africa,Design,0.45567907416770237
South America,Features,0.7207255611577783
Europe,Design,0.5048072500930488
South America,Color,0.6955313522218076
South America,Packaging,0.4108075994840512
Africa,Packaging,0.2692741276781718
Africa,Packaging,0.12951986073105282
Europe,Packaging,0.5337523028272
Europe,Packaging,0.7271558141251957
Africa,Features,0.14205365629027134
Africa,Packaging,0.31341064142639263
South America,Packaging,0.5341079954399099
North America,Design,0.27760391619228897
Africa,Color,0.3744985322675187
Africa,Features,0.16712804545041715
Asia,Size,0.186994172642429
Australia,Size,0.8776453405792607
North America,Design,0.4054305047603637
North America,Size,0.6849499221904991
North America,Features,0.5235344330785471
North America,Features,0.2623350726928594
Asia,Design,0.434056595323291
Africa,Packaging,0.8902254336883756
Europe,Color,0.2069888460761199
Australia,Color,0.7872199154568199
Africa,Features,0.2687509803601027
Africa,Size,0.10559096190086859
North America,Packaging,0.48896386938213265
South America,Size,0.7034747711183698
North America,Size,0.27779523640579373
Europe,Color,0.18082894352125445
Africa,Features,0.894290569930108
Australia,Packaging,0.9592011813049172
South America,Packaging,0.9856486015392474
Europe,Design,0.8768154916581126
South America,Size,0.985220820876829
Europe,Features,0.5882437495082549
Asia,Color,0.037557195997678594
North America,Color,0.4940676583385668
South America,Features,0.8244218001309241
Africa,Design,0.8529982272604357
North America,Features,0.8745107392724661
Africa,Design,0.1858353272824853
Europe,Features,0.7209468766341074
Europe,Packaging,0.1629626937107399
North America,Size,0.04633628307145965
Europe,Size,0.38822502783531354
South America,Features,0.9813750073459079
South America,Design,0.2322505187404823
Australia,Features,0.5856998531168731
Australia,Features,0.5657894892819667
Asia,Color,0.5195276191624328
Australia,Features,0.8063651685037667
Africa,Color,0.024605512365028726
Australia,Size,0.18051704930870582
Australia,Size,0.23684993809212607
Asia,Packaging,0.45702196445981447
Africa,Size,0.6477252427299727
Australia,Color,0.7743857810240307
Australia,Packaging,0.7976175100563357
Asia,Size,0.9335975716004619
Africa,Color,0.05273234791454606
North America,Design,0.678869853919963
North America,Packaging,0.9882719923552797
North America,Features,0.6324529231637442
