Supplier,Region,Component_ID,Lead_Time_Days,Cost_USD,Reliability_Score
Supplier 12,Asia,Component_016,48,11666.110671510136,0.7407863164955908
Supplier 30,North America,Component_018,41,48139.14255917752,0.9270272234287379
Supplier 11,South America,Component_006,57,42803.79393562828,0.9938946696074096
Supplier 17,Australia,Component_004,40,4795.563897718284,0.9560354631458822
Supplier 24,Europe,Component_018,33,36781.01640456878,0.9553108731747686
Supplier 7,South America,Component_007,6,9622.963410178883,0.9170632405390067
Supplier 31,Africa,Component_010,39,33625.87791695508,0.9416289023758864
Supplier 3,South America,Component_017,40,25593.512449663962,0.8197567007598432
Supplier 46,South America,Component_017,42,47067.355133367484,0.751435386401421
Supplier 41,North America,Component_009,53,45479.07851528597,0.7123142069675112
Supplier 42,South America,Component_005,55,9905.336190168317,0.8932170312152669
Supplier 39,Africa,Component_006,19,30894.266142870136,0.8825392579666244
Supplier 34,South America,Component_009,10,41717.49948685588,0.8801541365732534
Supplier 2,Asia,Component_014,7,32039.02433760483,0.8709999885293866
Supplier 7,North America,Component_014,26,35739.40883689245,0.8097949349094035
Supplier 46,Europe,Component_013,7,16457.02629282206,0.751460781902159
Supplier 21,Africa,Component_013,27,4125.708688447376,0.7293383573965933
Supplier 21,Europe,Component_012,58,23671.996761970822,0.7993774656125067
Supplier 50,Asia,Component_014,29,7111.077629988476,0.906451020895827
Supplier 27,North America,Component_010,42,35847.62264463386,0.8302918303471519
Supplier 16,Europe,Component_004,50,4290.3167925889375,0.8058517525099045
Supplier 19,Africa,Component_005,59,18093.044000084687,0.9010158674788635
Supplier 34,Africa,Component_002,54,18791.775898850978,0.821509725743774
Supplier 11,Asia,Component_018,41,32049.888359952372,0.8380422640227627
Supplier 22,Asia,Component_015,24,12472.973446281265,0.923316701237911
Supplier 12,Africa,Component_015,19,8866.577130581956,0.8214878760662405
Supplier 15,North America,Component_002,31,6100.657143144012,0.9277779114558127
Supplier 42,Europe,Component_003,13,4522.425096696924,0.7778280614697779
Supplier 31,Australia,Component_006,54,12492.333108285906,0.7570479397146688
Supplier 9,South America,Component_016,48,24826.643018181734,0.8432275359539779
Supplier 3,South America,Component_005,32,41049.60641263578,0.9835677992499186
Supplier 42,North America,Component_003,36,16484.67184684136,0.8805046888649437
Supplier 8,Australia,Component_016,37,7085.817158396825,0.7983141731442043
Supplier 27,Australia,Component_006,41,2747.9832195187064,0.9660126765690651
Supplier 2,Africa,Component_012,23,31737.79727838178,0.9346429301235993
Supplier 40,South America,Component_018,30,8838.684663429027,0.9511076956026892
Supplier 32,Africa,Component_013,20,21259.579548782578,0.7158408312839389
Supplier 14,Europe,Component_009,15,35528.632298976794,0.9017840449452132
Supplier 2,Asia,Component_002,17,44051.35977604427,0.888398781213963
Supplier 13,South America,Component_010,36,27081.478810603407,0.96864773256513
Supplier 31,Africa,Component_003,19,10379.841080265123,0.9882734655971459
Supplier 15,Africa,Component_005,54,9302.409983142139,0.8406815367683085
Supplier 23,Australia,Component_003,15,49667.21643804825,0.9804158220426544
Supplier 19,Africa,Component_009,9,40328.83010586974,0.9598770041152271
Supplier 7,South America,Component_013,34,9887.336480686741,0.9981889819125689
Supplier 16,Australia,Component_005,21,34962.71546106633,0.7654136916486299
Supplier 27,Africa,Component_006,25,30060.754181374716,0.8953722552543408
Supplier 12,Australia,Component_009,54,47374.91408016632,0.9602405235369724
Supplier 6,South America,Component_010,31,3522.7750607191742,0.9602657314275692
Supplier 20,Asia,Component_015,21,28701.06820744971,0.8299955904037676
Supplier 14,Asia,Component_016,30,20637.291306939966,0.7508447971730846
Supplier 3,Europe,Component_003,40,47133.97948462305,0.8814865684312077
Supplier 48,Europe,Component_006,45,47215.19702871424,0.9110274847845062
Supplier 30,Africa,Component_009,8,30622.898962438165,0.7447264650374098
Supplier 48,South America,Component_020,10,28588.827806092395,0.7247836065514567
Supplier 11,Australia,Component_016,58,21413.71383601332,0.9707481360597425
Supplier 25,Africa,Component_013,26,13779.337991838886,0.969743788324005
Supplier 48,Africa,Component_016,25,43058.921994422504,0.997769770962676
Supplier 38,Australia,Component_019,6,46287.750278439744,0.8442732512768729
Supplier 17,Australia,Component_015,46,40856.012767493885,0.7407924929491937
Supplier 23,Asia,Component_020,37,9725.670371424696,0.9399408703838048
Supplier 7,Asia,Component_004,5,39205.05902025291,0.9254405383608515
